participantId,format,fam_JSON,fam_JSONC,fam_JSON5,fam_HJSON,fam_YAML,fam_TOML,fam_XML
67895b7d6400163124042af7,jsonc,Used it a few times,Used it a few times,Used it a few times,Used it a few times,Not familiar at all,Heard of it but never used,Comfortable using it
659960f32faa4ff4b116de92,toml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
5f7f239e9b204e05b6c36538,json5,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
67b8636acd5ed420cc098b64,toml,Heard of it but never used,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used,Heard of it but never used,Used it a few times
57ca4b09993b08000192297b,xml,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times,Not familiar at all,Used it a few times
67d1cc8044430e99a7d91b4a,toml,Used it a few times,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Comfortable using it,Used it a few times
6693ce87e76d32ccf07fbcd8,xml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
680ebf035ab59d342f31726e,hjson,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
67f0d86fabc081fdc410e828,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Heard of it but never used,Not familiar at all
6691809035e52ca9b2b0f39a,yaml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
678faf5b31008609fd85b185,json5,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used
65e85a421f2dee53c62fbf45,json5,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
666b0b42bb6fa2822fa27a32,json5,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Comfortable using it,Heard of it but never used,Expert
6708da9c62672d0fe65b6683,jsonc,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
60f70af563ef757f65e750e0,xml,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
670f9ddb0e32533c222c3031,json,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Used it a few times
67d03135f855dd0ff0994265,toml,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
674f479b2a4ef75e4551f258,json5,Used it a few times,Heard of it but never used,Comfortable using it,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used
5ee4a14b578f8a000b384376,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
63af557b3d4f219c3226b7d6,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
65583ffa38bfc41805a553cd,hjson,Used it a few times,Used it a few times,Used it a few times,Heard of it but never used,Comfortable using it,Comfortable using it,Expert
66684d30d1a0d64a3a348c82,yaml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used,Heard of it but never used
60ec51c51a3158a50ded8a3e,json5,Comfortable using it,Not familiar at all,Heard of it but never used,Not familiar at all,Used it a few times,Not familiar at all,Used it a few times
671bdd06525adeea062a1d73,json,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times,Heard of it but never used,Used it a few times
6647e8618c77f7b938865d25,json5,Comfortable using it,Used it a few times,Comfortable using it,Heard of it but never used,Not familiar at all,Not familiar at all,Expert
613a541cf948d295c1df8752,jsonc,Heard of it but never used,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used
5e5c993cd0394c474f7cc502,toml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times,Heard of it but never used
67c045fa5074c5500ca40e76,xml,Comfortable using it,Heard of it but never used,Comfortable using it,Used it a few times,Heard of it but never used,Used it a few times,Used it a few times
67d2eaf9d5996dc6be1c7072,xml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
60e2ebb6ad1d5ee0e515a7c5,yaml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
67153c0d669d191ab273b865,yaml,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Used it a few times
67ab1d683813ed19603e1030,yaml,Expert,Comfortable using it,Comfortable using it,Comfortable using it,Expert,Used it a few times,Heard of it but never used
60e343946a7faddde88fbe3c,yaml,Used it a few times,Heard of it but never used,Not familiar at all,Not familiar at all,Heard of it but never used,Not familiar at all,Heard of it but never used
67e0333064ddada0e2fc6f1e,yaml,Expert,Expert,Expert,Comfortable using it,Expert,Expert,Expert
5b3ec4332a5fbf00014eae57,toml,Used it a few times,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Used it a few times
66912d7bf9d35c08f6919958,json,Expert,Used it a few times,Used it a few times,Expert,Expert,Expert,Expert
6717980047b565ab5b849317,hjson,Heard of it but never used,Used it a few times,Not familiar at all,Comfortable using it,Not familiar at all,Not familiar at all,Not familiar at all
651b29ff3a6cadf518640abe,xml,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all
6818ca1523ece90f671e3601,json,Used it a few times,Used it a few times,Comfortable using it,Comfortable using it,Comfortable using it,Expert,Comfortable using it
67c1dd323984fa84ae83e162,jsonc,Used it a few times,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used,Heard of it but never used
