participantId,task,score,score_z,format
64457bc906c125cebd4bf66b,reading-task-1,0.0,-2.3848480035423645,json5
64457bc906c125cebd4bf66b,reading-task-2,1.0,0.26457513110645925,json5
64457bc906c125cebd4bf66b,reading-task-3,1.0,0.6677918432759907,json5
64457bc906c125cebd4bf66b,reading-task-4,1.0,0.30304576336566325,json5
64457bc906c125cebd4bf66b,reading-task-5,1.0,0.8038369524685001,json5
6697c8b6d9d7baa7edd8c4d3,reading-task-1,1.0,0.41931393468876743,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-2,1.0,0.26457513110645925,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-3,1.0,0.6677918432759907,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-4,1.0,0.30304576336566325,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-5,0.0,-1.2440333788202975,hjson
67e25388d573ec2d5f1c8442,reading-task-1,1.0,0.41931393468876743,yaml
67e25388d573ec2d5f1c8442,reading-task-2,0.0,-3.7796447300922744,yaml
67e25388d573ec2d5f1c8442,reading-task-3,1.0,0.6677918432759907,yaml
67e25388d573ec2d5f1c8442,reading-task-4,1.0,0.30304576336566325,yaml
67e25388d573ec2d5f1c8442,reading-task-5,1.0,0.8038369524685001,yaml
67e5cf90b79d0874e1cf16b0,reading-task-1,1.0,0.41931393468876743,toml
67e5cf90b79d0874e1cf16b0,reading-task-2,1.0,0.26457513110645925,toml
67e5cf90b79d0874e1cf16b0,reading-task-3,1.0,0.6677918432759907,toml
67e5cf90b79d0874e1cf16b0,reading-task-4,1.0,0.30304576336566325,toml
67e5cf90b79d0874e1cf16b0,reading-task-5,1.0,0.8038369524685001,toml
67d00f24466a67ba7e41228e,reading-task-1,1.0,0.41931393468876743,toml
67d00f24466a67ba7e41228e,reading-task-2,1.0,0.26457513110645925,toml
67d00f24466a67ba7e41228e,reading-task-3,1.0,0.6677918432759907,toml
67d00f24466a67ba7e41228e,reading-task-4,1.0,0.30304576336566325,toml
67d00f24466a67ba7e41228e,reading-task-5,1.0,0.8038369524685001,toml
66475d6f7b27e4443ef0d031,reading-task-1,1.0,0.41931393468876743,json
66475d6f7b27e4443ef0d031,reading-task-2,1.0,0.26457513110645925,json
66475d6f7b27e4443ef0d031,reading-task-3,1.0,0.6677918432759907,json
66475d6f7b27e4443ef0d031,reading-task-4,1.0,0.30304576336566325,json
66475d6f7b27e4443ef0d031,reading-task-5,1.0,0.8038369524685001,json
6672d878f68b9e349b56e871,reading-task-1,1.0,0.41931393468876743,toml
6672d878f68b9e349b56e871,reading-task-2,1.0,0.26457513110645925,toml
6672d878f68b9e349b56e871,reading-task-3,1.0,0.6677918432759907,toml
6672d878f68b9e349b56e871,reading-task-4,1.0,0.30304576336566325,toml
6672d878f68b9e349b56e871,reading-task-5,1.0,0.8038369524685001,toml
67f5bb69760b211cdfe8021c,reading-task-1,1.0,0.41931393468876743,jsonc
67f5bb69760b211cdfe8021c,reading-task-2,1.0,0.26457513110645925,jsonc
67f5bb69760b211cdfe8021c,reading-task-3,1.0,0.6677918432759907,jsonc
67f5bb69760b211cdfe8021c,reading-task-4,1.0,0.30304576336566325,jsonc
67f5bb69760b211cdfe8021c,reading-task-5,1.0,0.8038369524685001,jsonc
67e571bef6af7ecd9c29ad72,reading-task-1,1.0,0.41931393468876743,json
67e571bef6af7ecd9c29ad72,reading-task-2,1.0,0.26457513110645925,json
67e571bef6af7ecd9c29ad72,reading-task-3,1.0,0.6677918432759907,json
67e571bef6af7ecd9c29ad72,reading-task-4,1.0,0.30304576336566325,json
67e571bef6af7ecd9c29ad72,reading-task-5,0.0,-1.2440333788202975,json
60f1f1d4ac991a259b83f603,reading-task-1,1.0,0.41931393468876743,json
